,Unnamed: 0,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,Clasificación,Aleatorio 1,Aleatorio 2,Unnamed: 0_sqrt,ID_sqrt,Acidez_ident,AcidoCitrico_exp,Azucar_raiz4,CloruroSodico_ident,Densidad_raiz4,pH_sqr,Sulfatos_cuarta,Alcohol_sqr,CalifProductor_ident,PrecioBotella_log,Beneficio_sqrt,Aleatorio 1_sqrt,Aleatorio 2_exp,Compra
0,0,0.16,-0.81,26.1,-0.425,1.02792,3.38,0.7,10.5,2.0,1.0,M,***,1.0,0.0157109190887666,***,0.06568767979980339,0.6588216885056255,0.01,0.01,3.080818571122549,6.2587989084028255,1.4166379460700873,1.6661178870718716,1.4804947892489715,12.094508373134614,156.13606411211288,9.253278408478389,1.54802480997157,-9.210340371976182,1.2923798891447582,0.4765195074368649,9.548623054045802,1
1,1,2.64,-0.88,14.8,0.037,0.99518,3.12,0.48,22.0,3.0,3.38,M,***,3.0,0.0,***,0.4735768261066142,0.6011868084299665,0.025381926810703795,0.023014884637829316,6.569486176777307,5.721422956878243,1.383030493252422,3.2466112419531954,1.3584949927182992,9.35817876072314,115.01154922660176,40.62070593981594,2.3219872149573555,0.47501387241310145,1.3774091199041598,1.2806198259127743,7.838149825207899,1
2,2,0.29,-0.4,21.5,0.06,0.99572,3.49,1.21,10.3,3.0,3.72,R,Desc,1.0,0.0,Desc,0.33755659095110424,0.7018821803778945,0.03447440234793964,0.03727002474748303,3.2636922762576774,10.588711075336633,1.4032475584529784,3.3252938115684993,1.3607890428934657,13.357685725075187,293.1456746554335,8.904141130403522,2.3219872149573555,0.6085374915520423,0.01,1.0811183780393943,11.06597596895775,0
3,3,-1.22,0.34,1.4,0.04,1.03236,3.2,0.37,11.6,2.0,6.23,B,***,2.0,0.0157109190887666,***,0.8267736089157264,0.596751282416723,0.041626033030683456,0.04509525603671628,1.1395438550727237,27.352107278778377,1.3397076691888519,3.256874185816061,1.4948932197879612,10.162799750933502,97.80276150102875,11.293545393892437,1.54802480997157,1.2622907741286253,1.5853788728801623,1.6921733535404966,7.719978256273105,1
4,4,0.27,1.05,11.25,-0.007,0.9962,4.93,0.26,15.0,1.0,2.44,R,Desc,2.0,0.0,Desc,0.42682679903158904,0.8512558793991325,0.04771759460089383,0.04741755555132933,3.2355578600830426,67.9876130227281,1.371948807232701,3.0960880652978315,1.3628185033364404,35.67944594511942,82.60145085661256,18.883869171770037,0.7740624049857849,-0.02740290779494686,1.3902981335705524,1.2157493106414918,18.457417269147914,1
5,5,-0.22,0.39,1.8,-0.277,0.94724,3.09,0.75,12.6,3.0,4.31,R,****,2.0,0.0,****,0.13986715418189832,0.8678506139085533,0.05311507359610053,0.04963131100333549,2.5462646638044815,29.163430462904437,1.3410629224583748,2.1724231176399145,1.0795694091419388,9.064999897961593,166.84454053433532,13.324574896440026,2.3219872149573555,0.8048441013050315,1.874105289407147,0.6957200669007245,19.53683668387506,1
6,6,0.22,0.49,10.4,-0.15,1.05918,3.01,-0.4,10.2,5.0,4.75,R,**,1.0,0.0,**,0.904921938550118,0.3604423447485883,0.058012526679527394,0.05378616873139787,3.1652218196464545,33.15387093089069,1.3692552018791002,2.6068877411678977,1.5740987531519333,8.30600028677707,24.9283935758718,8.732090224708791,3.8699120249289254,0.929646505235062,1.3902981335705524,1.770354266708251,3.4365746690052585,1
7,7,0.33,-1.06,3.0,0.518,0.96643,3.55,-0.86,3.9,2.0,1.24,B,**,1.0,0.0,**,0.4260170902704977,0.6319708476156227,0.06252755760756054,0.055747595501947966,3.319961108606948,4.5420500207020575,1.3451042188340554,4.892103241299335,1.214820283333816,14.073131216250923,8.169890477231016,1.2767167785366509,1.54802480997157,-1.8186486181093864,1.272146907278838,1.21459523233593,8.709682245975268,1
8,8,0.32,0.34,1.3,0.042,0.95523,2.93,2.16,12.0,3.0,4.44,MB,***,3.0,0.0,***,0.19847540347966053,0.9954977397503757,0.06673782787138419,0.05764231832338975,3.30589390051963,27.352107278778377,1.3393682124112685,3.263716148391305,1.1417885131695598,7.580179860338614,766.0240315066296,12.085815328169833,2.3219872149573555,0.8433656934600494,1.7188584514123806,0.8288809957806932,30.24955194420558,1
9,9,0.51,1.83,2.9,-0.165,0.9974,2.4,2.23,12.1,4.0,2.55,R,Desc,1.0,0.0157109190887666,Desc,0.3383090390986012,0.4005636662790031,0.07069780673835792,0.061256197862647396,3.5731708541786644,184.8654449245477,1.3447688334161825,2.555573021853569,1.3678528676411252,3.609653162402766,815.3715958370836,12.28807903397702,3.0959496199431404,0.046201615586196815,1.5833319827357546,1.0823231523553152,3.942783965076016,1
